id,host_id,host_is_superhost,host_listings_count,property_type,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
6623,15016,FALSE,16,Entire rental unit,Entire home/apt,$225.00,7,162,4.94,1.55
6624,15016,FALSE,16,Entire rental unit,Entire home/apt,$250.00,7,64,4.98,0.68
12074,15016,FALSE,16,Entire rental unit,Entire home/apt,$122.00,4,184,4.94,1.54
27116,116144,FALSE,2,Private room in bed and breakfast,Private room,$200.00,1,411,4.82,3.36
44527,120215,TRUE,3,Entire rental unit,Entire home/apt,$280.00,2,77,4.82,1.42
44998,198581,FALSE,12,Entire rental unit,Entire home/apt,$200.00,5,6,3,0.28
46054,198581,FALSE,12,Entire rental unit,Entire home/apt,$210.00,1,61,4.1,0.7
47383,214390,TRUE,4,Room in bed and breakfast,Hotel room,$65.00,2,279,4.92,2.28
47549,215652,TRUE,2,Entire rental unit,Entire home/apt,$136.00,2,145,4.8,1.22
49656,226598,TRUE,3,Entire rental unit,Entire home/apt,$105.00,3,79,4.81,0.95
51847,198581,FALSE,12,Entire rental unit,Entire home/apt,$160.00,1,8,4.5,0.11
56687,268967,FALSE,1,Entire rental unit,Entire home/apt,$150.00,3,47,4.78,0.51
60007,288678,FALSE,1,Entire rental unit,Entire home/apt,$150.00,1,159,4.73,1.33
60020,288785,FALSE,2,Room in bed and breakfast,Hotel room,$105.00,2,44,4.33,0.69
60304,290452,TRUE,2,Private room in bed and breakfast,Private room,$100.00,1,150,4.89,1.38
61714,289023,TRUE,3,Private room in bed and breakfast,Private room,$67.00,2,282,4.8,2.22
63267,308732,FALSE,1,Entire rental unit,Entire home/apt,$90.00,3,11,5,0.33
69375,347332,FALSE,3,Entire rental unit,Entire home/apt,$130.00,3,24,4.74,0.24
69877,351965,FALSE,3,Private room in bed and breakfast,Private room,$126.00,2,6,4.33,0.08
71735,368293,FALSE,5,Entire rental unit,Entire home/apt,$72.00,2,104,4.47,1.01
71870,369617,TRUE,11,Entire residential home,Entire home/apt,$101.00,3,209,4.66,1.72
71874,369642,FALSE,1,Private room in bed and breakfast,Private room,$100.00,1,52,4.06,0.5
72740,377929,TRUE,5,Entire rental unit,Entire home/apt,$85.00,2,313,4.81,3.31
74042,9609304,TRUE,3,Entire rental unit,Entire home/apt,$159.00,3,519,4.78,4.35
74272,390175,TRUE,2,Entire rental unit,Entire home/apt,$64.00,3,249,4.7,2.32
75376,399883,FALSE,6,Entire rental unit,Entire home/apt,$167.00,2,132,4.62,1.23
75760,402656,TRUE,1,Entire rental unit,Entire home/apt,$100.00,5,217,4.72,2.07
75994,399883,FALSE,6,Entire rental unit,Entire home/apt,$108.00,2,106,4.51,1.39
77188,390175,TRUE,2,Entire rental unit,Entire home/apt,$72.00,3,278,4.89,2.46
77598,416351,FALSE,2,Entire rental unit,Entire home/apt,$153.00,2,79,4.65,0.72
78833,394892,FALSE,3,Entire loft,Entire home/apt,$168.00,3,20,4.85,0.23
79038,425369,FALSE,4,Private room in bed and breakfast,Private room,$32.00,1,182,4.56,1.85
80403,434492,FALSE,2,Entire rental unit,Entire home/apt,$115.00,3,39,4.72,0.64
83610,434231,FALSE,11,Entire rental unit,Entire home/apt,$120.00,3,5,4.25,0.05
90053,485439,FALSE,4,Entire rental unit,Entire home/apt,$130.00,6,5,4.5,0.04
92159,289023,TRUE,3,Private room in bed and breakfast,Private room,$58.00,2,271,4.71,2.23
95980,510349,TRUE,0,Entire rental unit,Entire home/apt,$75.00,2,195,4.96,1.58
99238,419326,TRUE,1,Entire rental unit,Entire home/apt,$119.00,3,80,4.99,1.35
100620,520357,FALSE,0,Entire rental unit,Entire home/apt,$80.00,3,35,4.1,0.3
108271,560277,TRUE,1,Private room in condominium (condo),Private room,$36.00,2,326,4.83,2.9
109278,564594,TRUE,6,Private room in villa,Private room,$286.00,1,15,4.71,0.25
129278,485439,FALSE,4,Entire rental unit,Entire home/apt,$300.00,13,7,4,0.06
130605,642936,FALSE,1,Private room in rental unit,Private room,$78.00,2,255,4.65,2.36
131244,630328,FALSE,23,Room in hotel,Hotel room,$90.00,1,29,4.72,0.31
131822,630328,FALSE,23,Room in hotel,Hotel room,$140.00,1,7,4.71,0.08
131895,630328,FALSE,23,Room in hotel,Hotel room,$90.00,1,8,4.4,0.07
131939,630328,FALSE,23,Room in hotel,Hotel room,$200.00,1,2,4.5,0.02
134035,653451,FALSE,1,Entire rental unit,Entire home/apt,$87.00,2,66,4.92,0.55
136713,669047,TRUE,87,Entire rental unit,Entire home/apt,$678.00,3,60,4.82,0.94
137087,264845,TRUE,0,Entire rental unit,Entire home/apt,$124.00,2,86,4.6,0.79
137304,671512,FALSE,1,Private room in rental unit,Private room,$58.00,1,117,4.52,1.06
139786,669047,TRUE,87,Entire rental unit,Entire home/apt,$242.00,3,23,4.78,0.2
139802,669047,TRUE,87,Entire rental unit,Entire home/apt,$274.00,3,42,4.74,0.41
140197,683035,TRUE,1,Entire rental unit,Entire home/apt,$76.00,1,682,4.84,5.66
142085,1878243,TRUE,3,Entire rental unit,Entire home/apt,$55.00,2,336,4.85,2.88
145324,703872,TRUE,6,Private room in rental unit,Private room,$61.00,1,418,4.38,3.52
145631,704911,TRUE,3,Private room in guest suite,Private room,$50.00,2,609,4.73,4.99
146821,709828,FALSE,2,Entire rental unit,Entire home/apt,$333.00,3,115,4.8,1.14
148299,716234,FALSE,3,Room in bed and breakfast,Hotel room,$140.00,2,25,4.29,0.33
148794,685618,FALSE,2,Entire rental unit,Entire home/apt,$90.00,2,167,4.65,1.54
149749,722130,TRUE,3,Entire rental unit,Entire home/apt,$80.00,1,249,4.57,2.27
155015,745553,TRUE,10,Entire rental unit,Entire home/apt,$115.00,3,276,4.82,2.52
156728,745553,TRUE,10,Entire rental unit,Entire home/apt,$130.00,3,205,4.7,1.99
160017,767044,TRUE,1,Entire townhouse,Entire home/apt,$80.00,1,116,4.78,1.5
160426,766256,FALSE,2,Entire rental unit,Entire home/apt,$139.00,2,300,4.78,2.66
165705,716234,FALSE,3,Room in bed and breakfast,Hotel room,$75.00,2,148,4.48,1.28
166381,214390,TRUE,4,Room in bed and breakfast,Hotel room,$63.00,2,301,4.93,3.54
167145,796717,FALSE,1,Entire rental unit,Entire home/apt,$84.00,2,163,4.9,1.37
167168,214390,TRUE,4,Entire serviced apartment,Entire home/apt,$338.00,4,12,4.83,0.15
170523,813513,FALSE,2,Entire rental unit,Entire home/apt,$49.00,5,182,4.75,1.58
175509,848085,FALSE,5,Room in bed and breakfast,Hotel room,$135.00,1,33,4.55,0.46
184374,716234,FALSE,3,Room in bed and breakfast,Hotel room,$120.00,2,71,4.23,0.59
202466,334601,FALSE,4,Entire rental unit,Entire home/apt,$111.00,2,153,4.32,1.29
208801,1028258,FALSE,2,Entire rental unit,Entire home/apt,$60.00,3,456,4.82,3.94
217591,1123859,FALSE,1,Entire rental unit,Entire home/apt,$180.00,1,38,4.92,0.32
218393,813513,FALSE,2,Entire rental unit,Entire home/apt,$39.00,5,196,4.75,1.64
220238,693554,TRUE,2,Entire rental unit,Entire home/apt,$153.00,3,213,4.99,1.89
234465,1227993,FALSE,3,Entire rental unit,Entire home/apt,$110.00,3,42,4.75,0.86
